index,score_scale,score_binary,full_text
71,0.5,"[[3, -1]]","RT @luizguiprado: Cortem a verba das melhores universidades do país
Persigam professores
Ponham economistas no MEC
Cortem a verba de pesqui…"
72,0.5,"[[3, -1]]",Um a cada três estudantes nos países ricos opta por humanas https://t.co/FFc7jY8bZP via @UOLNoticias @UOL
73,0.5,"[[3, -1]]","RT @alves_delmar: #TaNoAr PREVIU:

-ESSA ERA O COMERCIAL IDEAL PRO BANCO DO BRASIL QUE BOLSONARO QUERIA!

#MaisDiversidadeMenosBolsolão
#Eu…"
74,0.5,"[[3, -1]]","A força do Lula é inversamente proporcional à cobertura da sua 1ª entrevista, ou seja, descomunal."
75,0.5,"[[3, -1]]","RT @folha: Curto a solidão para aprender e vou sair daqui melhor, afirma Lula em entrevista https://t.co/u8xcCeEZxU"
76,0.5,"[[3, -1]]","Parceiro, a verdade mesmo é que o diesel subiu mais de 20% em 100 dias! https://t.co/WM2GXR7yMF"
77,0.5,"[[3, -1]]",Menos transparência e controle social: “Canetada de Bolsonaro extingue conselhos federais com atuação da sociedade civil”. https://t.co/4zN47hzwqg
78,0.5,"[[3, -1]]",RT @JornalismoWando: Os nossos ministros são como uma corrente que tem que puxar o  Brasil pra frente. E não tem ministério mais forte que…
79,0.5,"[[3, -1]]","Até outro dia, a comunidade internacional reconhecia Paulo Freire como o maior filósofo brasileiro. A extrema-direita quer convencê-la de que, na verdade, é este senhor!
P.S. Não, não é um filme do Woody Allen patrocinado pela Coca-Cola. https://t.co/Vi5cBTBWSh"
80,0.5,"[[4, -2]]","No Brasil, cristãos, muçulmanos e judeus não só vivem em paz, como casam entre si. Em visita a Israel, Bolsonaro ignorou os primeiros, ofendeu os segundos e frustrou os últimos, além de importar um conflito inexistente entre nós. Nenhum ganho. Pena."
81,0.5,"[[3, -1]]","O Bolsonaro é uma das pessoas mais inteligentes que eu já conheci.

(Saudade do tempo de criança)"
82,0.5,"[[4, -2]]","Bolsonaro rasga Constituição de 1988 e divulga vídeo pró-golpe. Um verdadeiro crime contra a democracia que trai juramento presidencial de manter, defender e cumprir nossa lei maior. https://t.co/NPIL7en1CT"
83,0.5,"[[3, -1]]",@lubrasil Manda um beijo pra Bárbara!
84,0.5,"[[4, -2]]","RT @KennedyAlencar: Que papelão! Juiz federal Marcelo Bretas decretou prisões preventivas sem consistência. Instância superior corrigiu, ma…"
85,0.5,"[[4, -2]]","Apesar de serem os principais responsáveis pelo déficit da previdência, reforma para militares prevê gerar uma economia líquida de apenas 1% dos R$ 1 tri previstos em 10 anos. Quem vai pagar a conta é o povão mesmo! https://t.co/r9UxqBXIjD"
86,0.5,"[[3, -1]]",RT @gugachacra: Lamentável a declaração que ofende centenas de milhares de brasileiros nos EUA que vieram em busca de uma vida melhor. Curi…
87,0.5,"[[3, -1]]",Lula recebe prêmio de Direitos Humanos da maior central sindical dos EUA e Canadá https://t.co/07r9bbQgPY
88,0.5,"[[3, -1]]","RT @RevistaEpoca: O que as redes sociais dizem sobre um dos atiradores de Suzano

Guilherme Taucci Monteiro postou fotos armado antes do at…"
89,0.5,"[[3, -1]]","Não me sinto confortável em mostrar, mas temos que expor a verdade para o Bolsonaro ter conhecimento e sempre tomar suas prioridades. https://t.co/zr2HqOUEsO"
90,0.5,"[[3, -1]]","Camisa de Força: Militares querem isolar ministro Vélez Rodriguez, segundo olavetes. https://t.co/w9ot21IvOR via @UOLNoticias @UOL"
