Counter	Created_time	Time_Stamp	ID	Message	Shares	Status_type	Full_Picture	Reactions_like	Reactions_haha	Reactions_wow	Reactions_sad	Reactions_angry	Reactions_love
35	2018-08-17T11:40:31+0000	1534516831.0	211857482296579_428854424188636	Formatura de Sargentos da Polícia Militar do estado de São Paulo.	14844	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38944824_428871544186924_9140542102197764096_n.jpg?_nc_cat=101&_nc_ohc=QmI4iaFm2OcAX8QZKGQ&_nc_ht=scontent.xx&oh=36086d5d93be7e374a602e92bf0ac84a&oe=5EDAA38D	45042	276	213	27	127	9237
36	2018-08-19T10:35:52+0000	1534685752.0	211857482296579_2103915316524159	"- OS RUMOS CATASTRÓFICOS DA EDUCAÇÃO BRASILEIRA: instituições públicas apoiam e reforçam aprendizado da formação de militantes do MST desde a infância.

- link no youtube: https://youtu.be/iR9YkA7o6cs"	4287	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37415042_2103917873190570_4445472072562376704_n.jpg?_nc_cat=101&_nc_ohc=DtImynqdUR0AX_AVfOt&_nc_ht=scontent.xx&oh=2a683cefbd6c61a59d6937d8dea7ef44&oe=5E9017D5	13632	22	88	103	553	303
37	2018-08-20T23:52:27+0000	1534819947.0	211857482296579_257161908137350	‪- Agradeço ao Pr. Josue Júnior da Igreja Atitude, onde minha esposa tem a satisfação de frequentar, pelo carinho e consideração.‬	10590	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37890644_257163124803895_7871923064924012544_n.jpg?_nc_cat=110&_nc_ohc=wa9j8CnSE5MAX-YCTQO&_nc_ht=scontent.xx&oh=9934ca9698fd4a8bdd59822aebf54fc6&oe=5EA58A27	38854	82	232	12	57	4249
38	2018-08-20T00:54:36+0000	1534737276.0	211857482296579_287495352048673	- Grato sempre pela consideração e críticas construtivas Roger Moreira (Ultraje a Rigor) ! Quanto a nos casarmos, não vai dar mesmo. Sou muito bem casado! Fora a brincadeira, todos torcemos para que o Brasil volte aos trilhos novamente. Um forte abraço!	8670	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38667134_287496555381886_1170760062860263424_n.jpg?_nc_cat=108&_nc_ohc=qI4EcY-rjo8AX9V2O6A&_nc_ht=scontent.xx&oh=0ece0f0219187b9023e625364cb80c5e&oe=5E945140	36098	606	88	3	14	2384
39	2018-08-21T13:18:52+0000	1534868332.0	211857482296579_488762231588579	"- Amanhã, 22/agosto, às 13hs, pousaremos no aeroporto de Presidente Prudente/SP.
- Quinta: Araçatuba e Glicério;
- Sexta: S. J. do Rio Preto.
- Sábado: Festa do Peão de Barretos."	5671	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38103134_488763348255134_3259090169969508352_n.jpg?_nc_cat=107&_nc_ohc=n3woKK5Q17sAX9XycyU&_nc_ht=scontent.xx&oh=f5add35f4452307590aa30078a7d6fda&oe=5EA4E645	19694	50	123	2	25	1360
40	2018-08-21T02:36:56+0000	1534829816.0	211857482296579_254993978673187	"- Chega de política, vamos falar de peixe...
- Isso foi em 1992, portanto há 26 anos..."	3023	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37710462_254994438673141_9009082928612769792_n.jpg?_nc_cat=105&_nc_ohc=VrkWyalKXdEAX9ar57-&_nc_ht=scontent.xx&oh=333cd14cff17437a972b413d4513e088&oe=5E9A74E4	22963	4374	98	8	34	1491
41	2018-08-22T21:12:40+0000	1534983160.0	211857482296579_330801334329612	"- Nas ruas de Presidente Prudente.
- Obrigado São Paulo.

. Link: https://youtu.be/SH5zLuhKpE8"	34001	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/37573637_330802137662865_4136533155110715392_n.jpg?_nc_cat=104&_nc_ohc=4hLy0J5ztj0AX8OrOvR&_nc_ht=scontent.xx&oh=0430bc6c5b1ba4c404051a096e8fb1bf&oe=5ED91CA1	40783	201	1759	7	32	4544
42	2018-08-22T16:13:00+0000	1534965180.0	211857482296579_243662836335751	Desembarque no aeroporto de Presidente Prudente - SP	31372	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38951979_243667769668591_5693050589039034368_n.jpg?_nc_cat=108&_nc_ohc=O14FU0LzGYEAX-15Y0S&_nc_ht=scontent.xx&oh=7dd81b62bd37698e3449326ce9fd5ad3&oe=5EA2BFFD	65684	702	515	40	236	14725
43	2018-08-22T15:14:50+0000	1534961690.0	211857482296579_225809478086873	"Canal Rural: Bolsonaro leva no primeiro turno.

Um ponto de vista que a maior parte da imprensa propositalmente esconde! Assista:"	19838	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38866986_225810001420154_8538470374008946688_n.jpg?_nc_cat=102&_nc_ohc=xrf-ChtWTUEAX_kGhQo&_nc_ht=scontent.xx&oh=797afcfcddb2fa99c30b9700a5f97d89&oe=5ED4A1A3	24940	345	113	4	8	2128
44	2018-08-22T09:54:46+0000	1534942486.0	211857482296579_2108514646033139	"- Para que servem os debates?
-  Assista e comente."	5358	added_video	https://scontent.xx.fbcdn.net/v/t15.5256-10/38018003_2108516199366317_2841265623881744384_n.jpg?_nc_cat=111&_nc_ohc=-zCkSufXv9kAX_Oxn4s&_nc_ht=scontent.xx&oh=aa1c0aff885e40ad86d7bed1811331a2&oe=5EA95C62	18758	87	383	14	19	1313
